name,municipality,iata_code
Roto-Whirl/Vantage Heliport,Indianapolis,
Parrish Airport,Mount Vernon,
Trinity Medical Center West Heliport,Rock Island,
Evanston/Glenbrook Heliport,Glenview,
Cady Aerial RLA Restricted Landing Area,Deer Grove,
Dawson Farms Airport,Lovington,
Dongola Heliport,Dongola,
Blessing Hospital At 11th St Heliport,Quincy,
Bernardin Heliport,West Brooklyn,
Abbeville Municipal Airport,Abbeville,
Flying Ten Airport,Archer,
Dobie's Airport,Inola,
J V Ranch Airport,Osage City,
Kellie Mann Airfield,Ottawa,
Camp Chippewa Airport,Ottawa,
Norris Airport,Lawrence,
Kendrigan Airport,Peck,
Mono Aircraft Airport,Cheney,
Pearce Field,Parsons,
Lmn 120 Airport,Douglas,
Owen Air Park,Owenton,
Arnemann Farms Airport,Franklin,
Mgt Station 2105 Heliport,Hartford,
Tennessee Gas Heliport,Load,
Cambron Field,Owensboro,
Falin Landing Strip,Bowling Green,
Tennessee Gas Heliport,Burnaugh,
Clinton-Hickman County Airport,Clinton,
Sky Airport,Manchester,
Pine Mountain Aero Heliport,Whitesburg,
Lida Junction Airport,Goldfield,
Goldfield Airport,Goldfield,
Winn Parish Medical Center Heliport,Winnfield,
West Hackberry Heliport,Hackberry,
Double H Ranch Airport,Gonzales,
Don Babin-Private Airport,Gonzales,
Belcher Airpatch Airport,Belcher,
North Caddo Medical Center Heliport,Vivian,
Conoco Inc Heliport,Grand Isle,
Freeport Sulphur Heliport,Grand Isle,
Exxon Heliport,Grand Isle,
Jackson Parish Hospital Heliport,Jonesboro,
Rebel Field,Watson,
Kaufield Airport,Belvidere,
Jerseyville Aviation Inc Airport,Jerseyville,
Murk's Strip,St. Augustine,
Koenig Airport,Jerseyville,
Flaherty Field,La Salle,
Busboom RLA Restricted Landing Area,St Joseph,
Gord Airport,Sandwich,
Hospital Heliport,Sandwich,
Savanna Army Depot Helipad,Savanna,
Theriot Field,Thibodaux,
Evergreen Fourchon Heliport,Golden Meadow,
Evergreen Venice Heliport,Venice,
Buller's Airstrip,Bunkie,
Trahan Ultralightport,Cankton,
Dufour Airport,Morrow,
Morgan Field,New Roads,
Lonesome Dove Airfield,Woodlawn,
Huenefeld Airport,Monroe,
Massachusetts General Hospital Heliport,Boston,
Healthalliance Hospital-Leominster Heliport,Leominster,
Reh Heliport,Rehoboth,
Boston Medical Center Hospital Heliport,Boston,
Brockton Usar Center Heliport,Brockton,
Wbz Heliport,Boston,
Textron/Everett Heliport,Everett,
Lleia Kyle O'Meara Heliport,Westminster,
Baltimore Washington Medical Center Heliport,Glen Burnie,
Taylor Field,Sudlersville,
Squier Landing Airport,Cobb Island,
The Johns Hopkins Hospital Heliport,Baltimore,
Pond View Private Airport,Chestertown,
Greater Laurel Beltsville Hospital Heliport,Laurel,
Walters Airport,Mount Airy,
The Aspen Institute Heliport,Queenstown,
Security Ford Heliport,Arbutus,
Calvert Memorial Hospital Heliport,Prince Frederick,
Peasley Field,Otis,
Sumner Heliport,Grand Rapids,
Sugar Springs Airport,Gladwin,
Stier Airstrip,Glennie,
Kelleys Airport,Grayling,
Lesterson Field,Gwinn,
Young's Airport,Hulbert,
Four Star Heliport,Carleton,
Twin Lakes Airport,Lewiston,
Henry Ford Hospital Heliport,Detroit,
Winner's Landing Seaplane Base,St Paul Park,
Brinkman Airport,St. Peter,
Grindstone Lake Seaplane Base,Sandstone,
Lower Hay Lake Seaplane Base,Jenkins,
Paul's Seaplane Base,Nisswa,
Pankratz Airport,Springfield,
Matson Field,Spring Valley,
Ely Bloomenson Community Hospital Heliport,Ely,
Keller Airport,Stillwater,
Triple H Heliport,Big Lake,
Ferros Ranch-Aero Airport,Clinton,
Flying G Airport,Creighton,
Short-N-Ruff Airport,Caledonia,
Arvin Ranch Airport,Drexel,
Bert Walter Berkowitz Heliport,Kansas City,
Joe D Lewis Airport,Edina,
Hall Airport,Edina,
St Joseph Hospital West Heliport,Lake Saint Louis,
Sloan's Airport,Elsberry,
Emerson Heliport,Ferguson,
Topton Air Estates Airport,Meridian,
Franklin Field,Meadville,
Morgan Field,Seminary,
Baptist Memorial Hospital-North Ms Heliport,Oxford,
Sheriff's Courthouse Heliport,Gulfport,
Lewis Air Service Airport,Leland,
Levert Heliport,Pass Christian,
Hale Field,Pontotoc,
Catfish Point Airport,Benoit,
Shenandoah Valley Farms Airport,Houston,
Williams Field,Augusta,
Big Sandy Medical Center Heliport,Big Sandy,
Stock Farm Heliport,Hamilton,
Kimp Airport,Hamilton,
Cottonwood Airport,Laurel,
Hanson Airport,Marion,
Pinehurst Ranch Airport,Thompson Falls,
Glacier Heli Tours Heliport,West Glacier,
Lone Hawk Airport,White Fish,
Eagle Field,Ellington,
Sunderland Airport,Avilla,
Christian Hospital Northeast Heliport,Florissant,
Hannibal Regional Hospital Heliport,Hannibal,
Slaughter Airport,Marceline,
Holden Heliport,Holden,
Bradbury-Rolf Memorial Heliport,Higginsville,
Lambs Field,Lone Jack,
Prince STOLport,Millersville,
Kenyon Heliport,Kenyon,
Bozeman Deaconess Hospital Heliport,Bozeman,
Roosterville Airport,Liberty,
Chandelle Estates Airport,Dover,
Deldot Helistop,Dover,
Henderson Aviation Airport,Felton,
Goerger Airport,Barney,
Sorlie Airport,Maddock,
Boyd's Turf Airport,Golva,
Wayne Memorial Hospital Inc. Heliport,Goldsboro,
Bearwallow Farm Airport,Hendersonville,
Moore Regional Hospital Heliport,Pinehurst,
Washington County Hospital Heliport,Plymouth,
Wake Medical Center Heliport,Raleigh,
Nash General Hospital Heliport,Rocky Mount,
Our Community Hospital Heliport,Scotland Neck,
Lindsay Airport,Madison,
Double Creek Ranch Airport,Cleveland,
Maria Parham Hospital Heliport,Henderson,
Gilbertson Field,Flora,
Schumacher Strip,Hague,
Saville Private Airport,Hazelton,
Merrihew Airport,Ashby,
Runner Landing Area Airport,Ashby,
Merry Airport,Ashby,
Syracuse Hospital Heliport,Syracuse,
Franklin County Memorial Hospital Heliport,Franklin,
Newman Airport,Big Springs,
Frager Field,Fairfield,
Atlantic City Medical Center Heliport,Atlantic City,
Berkeley Township Police Heliport,Bayville,
Ballymere Heliport,Morristown,
Mount Holly Heliport,Mount Holly,
Weichert Headquarters Heliport,Morris Plains,
Fla-Net Airport,Netcong,
Dix Field,Linwood,
Essex Generating Station Heliport,Newark,
Port Newark Helistop,Newark,
Jersey Tpke New Brunswick Helistop,New Brunswick,
Berdick Field,Cattaraugus,
Spring Brook Airport,Central Square,
Westwind Farm Airport,Charlton,
Seven Gullies Airport,Groveland,
Medical Center Heliport,Hempstead,
Mid-Hudson Helicopter Service Heliport,Hopewell Junction,
Lapeer Flyer Airport,Marathon,
Ibm King St Heliport,Armonk,
Rocky Reef Farm Airport,Attlebury,
Lakeview Airport,Chittenango,
Columbus Municipal Airport,Columbus,
Negrito Airstrip,Reserve,
Summerlin Medical Center Heliport,Las Vegas,
Bennetts Airport,North Creek,
Russell Field,Northumberland,
Kermizian Airport,Ohio,
State Police Troop D Heliport,Oneida,
New York State Police Heliport,Auburn,
Murphys Landing Strip,Perth,
Wenskoski Field,Perth,
San Luis Reservoir Seaplane Base,Los Banos,
Corning Municipal Airport,Corning,
Ward Field,Gasquet,
Cirino Heliport,Chagrin Falls,
Jenkins Field,North Hampton,
Hamilton County Sheriff's Patrol Heliport,Forest Park,
Fry Field,Spring Valley,
Apple Airport,Piqua,
Fry Airport,Piqua,
Parknavy STOLport,Plain City,
Foltz Heliport,East Canton,
Autolite Heliport,Fostoria,
Unger Field,Greenfield,
Galloway Airport,Sandusky,
Salt Box Airport,Hiram,
Victor's Landing Airport,Kingsville,
Hidden Quarry Airport,Lucasville,
Edmond Airport,Edmond,
Mckey Airport,Elmore City,
Parkview Hospital Heliport,El Reno,
Mckinley Ranch Airport,Geary,
Rock Creek Farm Airport,Coal Gate,
Chappell Airport,Guthrie,
Ellis/Harvey Airport,Guthrie,
Shattuck Hospital Heliport,Shattuck,
Cade's Airport,Covington,
Crystal Airport,Jennings,
Providence Hospital Heliport,Medford,
Hendershots Heliport,Merlin,
Long Ranch Airport,Merrill,
Round Butte Heliport,Metolius,
East Oregon Cattle Co Airport,Eagle Point,
Rome Service Airport,Rome,
Marr Field,Monmouth,
Sutton on Rogue Airport,White City,
Hanel Field,Mount Hood,
Valley Forge Bicentennial Heliport,Norristown,
Van Pak Airport,Prairie View,
Shoestring Aviation Airfield,Stewartstown,
Philadelphia Gliderport,Hilltown,
Phoenix Technologies Heliport,Norristown,
Haunstein Ultralightport,Shermans Dale,
Robbins Farm Airport,Troy,
Ecko Field,Hummelstown,
Fisher Airport,Franklin,
Hostetler Airport,Huntingdon,
Linvill Airport,Media,
Community Medical Center Nap Heliport,Scranton,
Carson Heliport,Perkasie,
Fletcher Airport,Sheakeyville,
Pete's Water Landing Seaplane Base,Freeport,
Flying Acres Airport,Slippery Rock,
Wyeth-Ayerst Nr Heliport,Collegeville,
Kitner Airport,New Bloomfield,
Nichols Airport,Spartansburg,
Memmi Airport,Three Springs,
Drillmore Acres Airport,Newburg,
Shriver Airport,Titusville,
Paul Personal Use Airport,Titusville,
Frederick Airpark,Tylersburg,
Mc Crory Stores Heliport,York,
Marian Heliport,Weatherly,
Carsonville Airport,Carsonville,
Old Orchard Airport,Curwensville,
Used Parts Heliport,East Bangor,
Herbst Heliport,East Prospect,
Harman Airport,Elizabethville,
Bayfront Garage Heliport,Erie,
Delaware Valley Medical Center Heliport,Fairless Hills,
Sonoma Valley Airport,Schellville/Sonoma,
Selma Airport,Selma,
Shingletown Airport,Shingletown,
Sonoma Skypark Airport,Sonoma,
Lincoln Municipal Airport,Lincoln,
The Red River Airport,Coushatta,
Plainville Airpark,Plainville,
Meadow Creek Usfs Airport,Meadow Creek,
Stockton Municipal Airport,Stockton,
Nez Perce Municipal Airport,Nez Perce,
Lenling Airport,Glencross,
Lodi Airport,Wakonda,
Prairie Lakes West Heliport,Watertown,
Bledsoe Ranch Airport,Hoover,
Brookview Manor Heliport,Brookings,
The Fort Heliport,Custer,
Oasis Ranch Airport,Philip,
Porch Ranch Airport,Wanblee,
Juhnke Airport,Vivian,
Crazy Horse Heliport,Custer,
Twin City Airpark,Marble Hill,
Kittyhawk Airport,Allen,
Mainland Regional Health Care System Heliport,Lamarque/Texas City,
Buddy Harmel Airport,Halfway,
Smith Farms Airport,Halfway,
Tate Ranch Airport,Dryden,
Erco Field,Kaufman,
Metro Heli-Pad Heliport,Houston,
Arco Ingleside Shorebase Heliport,Ingleside,
Alta Vista Ranch Airport,Marfa,
Womack Plantation Airport,Paris,
Houston Oil & Minerals Port Bolivar Nr 2 Heliport,Port Bolivar,
Robertson Ranch Airport,Comstock,
Christus Spohn Hospital Memorial Heliport,Corpus Christi,
Bell Helicopter Hurst Heliport,Hurst,
Buzz Field,Roaring Springs,
Hilltop Lakes Airport,Hilltop Lakes,
Santa Maria Ranch Airport,Laredo,
Gorman Airport,Gorman,
LBJ Ranch Airport,Johnson City,JCY
Texas World Speedway Helistop Nr 1 Heliport,College Station,
Texas World Speedway Helistop Nr 2 Heliport,College Station,
R & S Buzzard Airport,Spring Hill,
Tims Ford Seaplane Base,Tullahoma,
Village Airport,Greenback,
Park West Heliport,Knoxville,
St Mary's Medical Center Heliport,Knoxville,
Mc Donald Airport,Murfreesboro,
Riner Farm Airport,Norris,
Horne Properties Heliport,Knoxville,
Erlanger Medical Center Heliport,Chattanooga,
East Tennessee Children's Hospital Heliport,Knoxville,
Flower Mound Airport,Flower Mound,
Dooley Airport,Justin,
Ultralight International Ultralightport,Haslet,
Houston Heliport,Houston,
Ullrich Airport,Ledbetter,
Lake Bay Gall Airport,Cleveland,
Harris County Courthouse Heliport,Houston,
Flying U Airport,Mineral Wells,
Flying 'K' Ranch Ultralightport,Mercedes,
Jim Roach Field,Niederwald,
Dynasty Heliport,"San Jose, Tinian",
Nassau Bay Airport,Granbury,
Pecan Plantation Airport,Granbury,
Heliport-Facility 5a Heliport,Grand Prairie,
Panola General Hospital Heliport,Carthage,
Aerospatiale Helicopter Corp Heliport,Grand Prairie,
Shiloh Airport,Flower Mound,
Elm Creek Airpark,Seguin,
Lazy K Acres Airport,Grapevine,
Jacobia Field,Greenville,
Card Aerodrome,Greenville,
Landmark US Forest Service Airport,Landmark,
Warm Springs Creek Airport,Lowman,
Copper Basin Airport,Mackay,
Mahoney Creek US Forest Service Airport,Mahoney Creek,
Hollow Top Airport,Martin,
May Airport,May,
Lee Williams Memorial Airport,Midvale,
Mostly Harmless Heliport,Bumpass,
Johnson Fox Field,Bedford,
Riverwood Airport,Iron Gate,
Hunt Airport,Manquin,
Worley Field,Rocky Mount,
Coffman Field,Richmond,
Mc Guire Va Medical Center Pad Heliport,Richmond,
Flatrock Air Strip,Richmond,
Jayarz Airport,Mannboro,
Handy Strip,Gloucester Court House,
Brooklyn Airport,Manquin,
Seattle Seaplanes Seaplane Base,Seattle,
Floathaven Seaplane Base,Bellingham,
Streamline Heliport,Machias,
Dwight Field,Chehalis,
Curtis Airport,Curtis,
Air Columbia Heliport,Stevenson,
Hansen Heliport,East Wenatchee,
Ware Mountain Heliport,Mount Vernon,
Stevens Memorial Hospital Heliport,Edmonds,
Shamrock Port Heliport,Newman Lake,
Childrens Hospital Emergency Heliport,Seattle,
Naval Station Everett Heliport,Everett,
Aurora St Luke's Medical Center Heliport,Milwaukee,
Mort's Landing Airport,Comstock,
Doering Farms Airfield,Monches,
Aurora Lakeland Medical Center Heliport,Elkhorn,
Snow Crest Ranch Airport,Montello,
Crash In International Airport,Husher,
Simandl Field/Private Airport,Muskego,
With Wings And A Halo Airport,Neenah,
Oconomowoc Airport,Oconomowoc,
Mc Manus Hoonch-Na-Shee-Kaw Airport,Oregon,
Rucilla's Roost Airport,Sequim,
Shangri-La Airport,Selah,
Coopers Landing,Kennewick,
Olympia Heliport,Olympia,
Potts Field,North Cape,
L-Z Blue Thunder Heliport,Blaine,
Enumclaw Community Hospital Heliport,Enumclaw,
Sheldon Heliport,Coeur D'Alene,
Wings For Christ Airport,Omak,
Freedom Air Ranch Airport,Freedom,
Dorsey Creek Ranch Airport,Basin,
Parkland Hospital Nr 2 Heliport,Dallas,
Fort Duncan Medical Center Heliport,Eagle Pass,
Midstream Freeport Heliport,Freeport,
Seven C's Ranch Airport,Freer,
74 Ranch Airport,Campbellton,
Jaxon Landing Heliport,Lubbock,
Bar 3 Ranch Airport,Georgetown,
Ohho Airport,Dripping Springs,
Methodist Mansfield Medical Center Heliport,Mansfield,
Diamond H Ranch Airport,Catarina,
Rodgers Roost Airport,El Campo,
John Fields Ranch Airport,Sonora,
South Texas Project Heliport,Palacios,
Eds Heliport,Allen,
Southeastern Helicopters Heliport,South Padre Island,
Lakeside Beach Airport,Spicewood,
Anacacho Ranch Airport,Spofford,
Dunbar Ranch Airport,Spofford,
French Field,Bullard,
Lambert Fechter Municipal Airport,Hartley,
Lake Mills Municipal Airport,Lake Mills,
Road Commission Nr 1 Airport,Denali,
Shannons Pond Seaplane Base,Dillingham,
Hunt Strip,Wasilla,
North Jackson Hospital Heliport,Bridgeport,
Huntsville Memorial Hospital Heliport,Huntsville,
Pierce Airport,Buckeye,
William E Poole Heliport,Apple Valley,
Joe Gottlieb Field,Bakersfield,
Silkman Farms Inc. Airport,Burlington,
Winsted Municipal Airport,Winsted,
Rosser Ranch Airport,Graham,
Flying Baron Estates Airport,Leesburg,
Seven Feathers Airport,Dunnellon,
Fishermen's Hospital Emergency Helistop,Marathon,
Beaverbrook Aerodrome,Griffin,
Flyers Airport,Waterloo,
Flat Top Airstrip,Muldoon,
Jasper County Hospital Heliport,Rensselaer,
Riverside Medical Center Heliport,Kankakee,
Squires Airport,Connersville,
University of Kansas Hospital Heliport,Kansas City,
Southwest Government Center Heliport,Louisville,
Industrial Helicopters Inc. Airport,Scott,
G & J Fly A Way Ultralightport,Youngsville,
Beaver Lake Seaplane Base,Ware,
St Mary's Hospital Heliport,Saginaw,
Lookout Lake Seaplane Base,Ironton,
Eckerts Airstrip,Williamsburg,
Daniel Emergency Response Team Heliport,Moss Point,
Hoolie Airport,Haxby,
Freeman Neosha Hospital Heliport,Neosho,
Johnston Farm Airport,Jackson,
Smith Strip,Halliday,
St Joseph Hospital Heliport,Omaha,
Clark Heliport,Hampstead,
St Francis M C Helistop,Trenton,
Beaver Meadow Heliport,Remsen,
Zoellner Airport,Huron,
Hickory Hills Airport,Norman,
Stevens Mountain Airport,Vernonia,
Piac Heliport,Essington,
One Meridian Plaza Heliport,Philadelphia,
Bear Creek Heliport,Houston,
Gottwald Field,Harwood,
Flatwood Field,Lebanon,
Saint's Strip Ultralightport,Marion,
Jbh Aerospace Heliport,Ingleside,
Gilbert Development Corp Heliport,Hurricane,
Nashs Airport,Appomattox,
Mullan Hill Airport,Spokane,
Buds Landing Airport,Pound,
Willow Creek Ranch Airport,Kaycee,
Flying S Air Ranch Airport,Brownwood,
Rocking T. Ranch Airport,Delta Junction,
Ech Stagefield Army Heliport,Fort Rucker/Ozark,
St. Joseph's Mercy Heliport,Hot Springs,
Whetstone Airport,Huachuca City,
Turner Field,Fowler,
Hansen Airport,Adelanto,
Channel 7 Heliport,Denver,
B & L Farms Airport,Homestead,
North Okaloosa Medical Center Heliport,Crestview,
Williams Field,Middleburg,
Johnson Field,Smiths Creek,
De Kalb General Hospital Heliport,Decatur,
Apple 1 Heliport,Cumming,
Riddle Airport,Riddle,
Atterbury Field (Camp Atterbury),Nineveh,
St Mary's Hospital - Kankakee Heliport,Kankakee,
Jr's Airport,Danville,
St Anthony Memorial Hospital Heliport,Effingham,
Sheller's Airport,Tonganoxie,
Southwest Hospital Heliport,Louisville,
Tiger Pass Seaplane Base,Venice,
Thacker Airport,Chenoa,
Jasmine Hill Airport,Glenmora,
Fulton-Itawamba County Airport,Fulton,
Bulljump Airport,Wareham,
Tim's Airport,Salisbury,
Wagner's Landing Heliport,Clarkston,
Sixberry's Landing Seaplane Base,Chisholm,
Redgate Ranch Airport,Williamsburg,
Candlelight Farms Airport,New Milford,
Sprint/Midatlantic Telecom Heliport,Youngsville,
Kaan Airport,Harrison,
Southdown Heliport,Pluckemin,
Hop House Airpark,Fort Plain,
Saikkonen Airport,Spencer,
Hide-A-Way Hills Resort Airport,Bremen,
Unity Airport,Unity,
Fayette County Memorial Hospital Heliport,Washington Court House,
Beefor Ranch Airport,Purcell,
Holiday Sky Ranch Airport,Sutherlin,
Sherrie John Manor Heliport,Mechanicsburg,
Eakin Airport,Cranberry,
Sekiu Airport,Sekiu,
Conoco Heliport,Houston,
Flying M Ranch Airport,Grandview,
Salem Field,Clarksville,
Pt Enterprise D&W Ranch Airport,Mexia,
Butler Airport,Sherman,
Chesapeake General Hospital Heliport,Chesapeake,
Devil's Reach Landing Airport,Oak Grove,
Homeport Airport,Spokane,
Victory Memorial Hospital Heliport,Stanley,
Diedrich Seaplane Base,Lodi,
Flying Feathers Airport,Chilton,
Arkavalley Airport,Conway,
Goldberg Stagefield Army Heliport,Fort Rucker/Kirklands Crossroads,
Gibbons Airport,Marvell,
Ranta Strip,Morristown,
Faber Vineyards Airport,Lodi,
Newton Field,Stratford,
Omega 1 STOLport,Hotchkiss,
Hi-Acres Airport,Clermont,
Osceola Regional Hospital Heliport,Kissimmee,
Timberlachen Seaplane Base,Orlando,
Gwinnett Community Hospital D/B/A Eastside Medical Center Heliport,Snellville,
Harvest Lake Seaplane Base,Riceboro,
Brookville Reservoir Seaplane Base,Brookville,
Plueger Airfield,Lemars,
Flying B Ranch Landing Strip,Salmon,
Pentecost Airport,Centerville,
Hawker Airport,Kankakee,
J & S Field,Darmstadt,
Mercer County Hospital Heliport,Aledo,
Clinton Elks Lodge Balloonport,Pittstown,
Sooter Airport,Sedgwick,
John M. Foree Airport,New Castle,
Kml Airport,Sulphur,
Lambdins Field,Wolf Lake,
Hains Airstrip,Rayne,
Mellen Street Heliport,Holliston,
St. Agnes Health Care Heliport,Baltimore,
Ridgeview Airport,Searsmont,
John's Airport,Davison,
Eastman Seaplane Base,Lake Hubert,
Ferguson Farms Airport,Windsor,
Green Acres Airport,Woodville,
Lincolns Field,Hingham,
Atlantic Field Mcolf Airport,Atlantic,
Pietschtree Airstrip,Burlington,
Reisig Brothers Airport,Scottsbluff,
Gile Pond Airport,Sanbornton,
Penske 2 Heliport,Lodi,
Westport Airport,Westport,
Columbus Stockyards Airport,Columbus,
Tgp-245 Heliport,West Winfield,
Defiance Regional Medical Center Heliport,Defiance,
Mcgregor Airfield,Brookville,
Expressway Airpark,Oklahoma City,
Skinner Ranch Airport,Jordan Valley,
Helicopter Applicators Inc Heliport,Gettysburg,
Wcau Heliport,Philadelphia,
Villamil-304 Ponce De Leon Heliport,San Juan,
Siple Heliport,Lewisville,
Monument Municipal Airport,Monument,
Over the Hill Airport,Elgin,
Ferris Red Oak Municipal Heliport,Ferris/Red Oak,
Channel Two Heliport,Houston,
Curtis Ranch Field,Brady,
Riley Creek Airport,Kingston,
Blo Airport,Mineral Wells,
Griffin Airport,Bertram,
Hop-Along Airport,Clifton Forge,
Fowlers Nw 40 Airport,Spokane,
Memorial Hospital of Taylor County Heliport,Medford,
Walker Airport,Palouse,
Black Diamond Airport,Burlington,
Mc Croskey Field,Butlerville,
Satterbergs Airport,Houston,
Hatch Stagefield Army Heliport,Fort Rucker/Ozark,
Jrmc Heliport,Pine Bluff,
